Birdtree Name,English Name,Midpoint Lat,Body Mass
Phalacrocorax_melanoleucos,Little Pied Cormorant,-22.9,727.36
Phalacrocorax_africanus,Reed Cormorant,-0.38,545
Phalacrocorax_coronatus,Crowned Cormorant,-29.2,762.19
Phalacrocorax_niger,Little Cormorant,23.72,427
Phalacrocorax_pygmeus,Pygmy Cormorant,42.72,675.97
Phalacrocorax_penicillatus,Brandt's Cormorant,32.27,2224.24
Phalacrocorax_harrisi,Flightless Cormorant,-0.38,3016.62
Phalacrocorax_neglectus,Bank Cormorant,-29.63,1944.21
Phalacrocorax_fuscescens,Black-faced Cormorant,-36.84,1515
Phalacrocorax_brasilianus,Neotropic Cormorant,-8.73,1239.29
Phalacrocorax_auritus,Double-crested Cormorant,45.87,1806.49
Phalacrocorax_sulcirostris,Little Black Cormorant,-24.14,994.98
Phalacrocorax_varius,Australian Pied Cormorant,-26.22,1940.65
Phalacrocorax_carbo,Great Cormorant,2.65,2528.97
Phalacrocorax_capillatus,Japanese Cormorant,67.98,2801.78
Phalacrocorax_nigrogularis,Socotra Cormorant,25.38,1768.43
Phalacrocorax_capensis,Cape Cormorant,-22.9,1211.74
Phalacrocorax_bougainvillii,Guanay Cormorant,-24.55,2485
Phalacrocorax_magellanicus,Rock Shag,-49.79,1483.44
Phalacrocorax_pelagicus,Pelagic Shag,58.07,1843.95
Phalacrocorax_urile,Red-faced Shag,55.34,2117.66
Phalacrocorax_aristotelis,European Shag,40.71,1764.34
Phalacrocorax_gaimardi,Red-legged Shag,-24.55,1358.34
Phalacrocorax_punctatus,Spotted Shag,-42.21,1184.73
Phalacrocorax_featherstoni,Pitt Shag,-44.28,1041.85
Phalacrocorax_atriceps,Imperial Shag,-48.07,2000
Phalacrocorax_carunculatus,Rough-faced Shag,-40.71,2576.33
Phalacrocorax_chalconotus,Bronze Shag,-45.87,2220.05
Phalacrocorax_onslowi,Chatham Shag,-44.28,2072.67
Phalacrocorax_campbelli,Campbell Shag,-52.78,1897.36
Phalacrocorax_colensoi,Auckland Shag,-50.37,2000
Phalacrocorax_ranfurlyi,Bounty Shag,-48.07,2500
