Jetz_Name,Habitat
Chaetops frenatus,Open
Chaetops aurantius,Open
Neocossyphus rufus,Dense
Neocossyphus poensis,Dense
Stizorhina fraseri,Dense
Stizorhina finschi,Dense
Myophonus blighi,Dense
Myophonus melanurus,Dense
Myophonus glaucinus,Dense
Myophonus borneensis,Dense
Myophonus castaneus,Dense
Myophonus robinsoni,Dense
Myophonus horsfieldii,Open
Myophonus insularis,Dense
Myophonus caeruleus,Dense
Geomalia heinrichi,Dense
Zoothera schistacea,Dense
Zoothera dumasi,Dense
Zoothera joiceyi,Dense
Zoothera interpres,Semi-Open
Zoothera leucolaema,Dense
Zoothera erythronota,Dense
Zoothera mendeni,Semi-Open
Zoothera dohertyi,Dense
Zoothera wardii,Semi-Open
Zoothera cinerea,Dense
Zoothera peronii,Dense
Zoothera citrina,Dense
Zoothera everetti,Dense
Zoothera sibirica,Dense
Zoothera piaggiae,Dense
Zoothera crossleyi,Dense
Zoothera gurneyi,Dense
Zoothera oberlaenderi,Dense
Zoothera princei,Dense
Zoothera guttata,Dense
Zoothera spiloptera,Dense
Zoothera andromedae,Dense
Zoothera mollissima,Semi-Open
Zoothera dixoni,Dense
Zoothera major,Dense
Zoothera machiki,Semi-Open
Zoothera heinei,Semi-Open
Zoothera lunulata,Dense
Zoothera talaseae,Dense
Zoothera margaretae,Dense
Zoothera turipavae,Dense
Zoothera tanganjicae,Dense
Zoothera monticola,Dense
Zoothera marginata,Dense
Zoothera naevia,Dense
Zoothera pinicola,Dense
Cataponera turdoides,Dense
Sialia sialis,Semi-Open
Sialia mexicana,Open
Sialia currucoides,Open
Myadestes obscurus,Semi-Open
Myadestes palmeri,Dense
Myadestes lanaiensis,Dense
Myadestes townsendi,Semi-Open
Myadestes occidentalis,Dense
Myadestes elisabeth,Dense
Myadestes genibarbis,Dense
Myadestes melanops,Dense
Myadestes coloratus,Semi-Open
Myadestes ralloides,Dense
Myadestes unicolor,Dense
Cichlopsis leucogenys,Dense
Catharus gracilirostris,Semi-Open
Catharus aurantiirostris,Semi-Open
Catharus fuscater,Dense
Catharus occidentalis,Semi-Open
Catharus frantzii,Dense
Catharus mexicanus,Dense
Catharus dryas,Dense
Catharus fuscescens,Dense
Catharus minimus,Semi-Open
Catharus bicknelli,Dense
Catharus ustulatus,Dense
Catharus guttatus,Dense
Hylocichla mustelina,Dense
Entomodestes coracinus,Dense
Entomodestes leucotis,Dense
Psophocichla litsitsirupa,Open
Turdus flavipes,Semi-Open
Turdus leucops,Dense
Turdus pelios,Semi-Open
Turdus tephronotus,Semi-Open
Turdus libonyanus,Semi-Open
Turdus ludoviciae,Open
Turdus helleri,Dense
Turdus menachensis,Semi-Open
Turdus bewsheri,Semi-Open
Turdus hortulorum,Dense
Turdus unicolor,Semi-Open
Turdus dissimilis,Dense
Turdus cardis,Dense
Turdus albocinctus,Dense
Turdus torquatus,Semi-Open
Turdus boulboul,Dense
Turdus poliocephalus,Semi-Open
Turdus rubrocanus,Dense
Turdus kessleri,Semi-Open
Turdus feae,Dense
Turdus obscurus,Dense
Turdus pallidus,Dense
Turdus chrysolaus,Dense
Turdus celaenops,Semi-Open
Turdus pilaris,Dense
Turdus iliacus,Dense
Turdus philomelos,Dense
Turdus mupinensis,Dense
Turdus viscivorus,Semi-Open
Turdus fuscater,Semi-Open
Turdus chiguanco,Semi-Open
Turdus nigrescens,Open
Turdus infuscatus,Dense
Turdus serranus,Dense
Turdus nigriceps,Dense
Turdus subalaris,Dense
Turdus reevei,Semi-Open
Turdus olivater,Dense
Turdus maranonicus,Semi-Open
Turdus fulviventris,Dense
Turdus rufiventris,Dense
Turdus falcklandii,Semi-Open
Turdus leucomelas,Dense
Turdus amaurochalinus,Semi-Open
Turdus plebejus,Semi-Open
Turdus ignobilis,Semi-Open
Turdus lawrencii,Dense
Turdus fumigatus,Dense
Turdus obsoletus,Dense
Turdus hauxwelli,Dense
Turdus haplochrous,Semi-Open
Turdus grayi,Semi-Open
Turdus nudigenis,Semi-Open
Turdus maculirostris,Semi-Open
Turdus jamaicensis,Semi-Open
Turdus assimilis,Dense
Turdus daguae,Dense
Turdus albicollis,Dense
Turdus rufopalliatus,Semi-Open
Turdus rufitorques,Semi-Open
Turdus migratorius,Open
Turdus swalesi,Semi-Open
Turdus aurantius,Semi-Open
Turdus plumbeus,Semi-Open
Nesocichla eremita,Open
Turdus lherminieri,Dense
Cochoa purpurea,Dense
Cochoa viridis,Dense
Cochoa beccarii,Dense
Cochoa azurea,Dense
Chlamydochaera jefferyi,Dense
Brachypteryx stellata,Semi-Open
Brachypteryx hyperythra,Semi-Open
Brachypteryx leucophrys,Dense
Brachypteryx montana,Dense
Heinrichia calligyna,Dense
Alethe poliophrys,Dense
Alethe poliocephala,Dense
Alethe fuelleborni,Dense
Alethe choloensis,Dense
Alethe diademata,Dense
Turdus merula,Semi-Open
Turdus naumanni,Semi-Open
Turdus olivaceofuscus,Dense
Turdus olivaceus,Dense
Turdus ruficollis,Dense
Zoothera camaronensis,Dense
Zoothera dauma,Dense
Zoothera imbricata,Dense
