"Jetz_Name","Body_mass","Latitude_mean","Beak"
"Abeillia_abeillei",2.7,15.68,13.4105746868085
"Abroscopus_albogularis",4.84,25.91,9.90005569731817
"Abroscopus_schisticeps",4.7,25.38,8.72828698628582
"Abroscopus_superciliaris",6.48,11.6,11.8434346037768
"Aburria_aburri",1405.08,-1.28,37.0264680830723
"Acanthagenys_rufogularis",47.8,-26.92,25.0518223300576
"Acanthidops_bairdii",16,9.5,15.736482257545
"Carduelis_flammea",13,61.99,11.1281312237641
"Acanthisitta_chloris",6.91,-42.1,12.7277526200702
"Acanthiza_apicalis",7.62,NA,10.1968815144785
"Acanthiza_chrysorrhoa",9.29,-28.85,11.589399012709
"Gerygone_cinerea",7.6,-6.94,11.2713255723473
"Acanthiza_ewingii",6.9,-41.67,10.4889271343593
"Acanthiza_inornata",7,-32.32,10.8497001228854
"Acanthiza_iredalei",6.04,-31.22,9.73197920852527
"Acanthiza_katherina",7.2,-17.28,10.9211086857133
"Acanthiza_lineata",6.85,-32.34,8.67238583765924
"Acanthiza_murina",8.4,-6.89,10.9110935319029
"Acanthiza_nana",6.19,-29.63,10.277532373881
"Acanthiza_pusilla",7.62,-28.56,9.96266672609374
"Acanthiza_reguloides",7.7,-29.81,10.287989433594
"Acanthiza_robustirostris",6.1,-26.07,9.70236416868866
"Acanthiza_uropygialis",6.4,-28.42,9.64156910525635
"Turdoides_nipalensis",61,27.88,23.8502908275072
"Acanthorhynchus_superciliosus",9.72,-32.7,23.5700404670667
"Acanthorhynchus_tenuirostris",10.44,-32.35,26.5352924094031
"Acanthornis_magna",10.18,-41.88,14.6934848456644
"Accipiter_albogularis",248.75,-8.35,27.7550335940942
"Accipiter_badius",131.15,9.81,20.5916354485136
"Accipiter_bicolor",287.54,-9.4,25.4939306813794
"Accipiter_brachyurus",142,-4.67,22.3305652868934
"Accipiter_brevipes",186.48,45.35,20.6438513638452
"Accipiter_butleri",332.94,7.59,19.8814097335562
"Accipiter_castanilius",157.51,0.26,20.6284928728361
"Accipiter_cirrocephalus",165.73,-24.23,19.5379848651141
"Accipiter_collaris",332.94,-0.31,19.7341661159741
"Accipiter_cooperii",429.67,40.05,25.4070686736424
"Accipiter_erythrauchen",156,-1.63,20.8334126050118
"Accipiter_erythropus",111.2,1.36,17.9419556953385
"Accipiter_fasciatus",358.66,-23.16,28.5791771401003
"Accipiter_francesiae",136.82,-18.55,20.352480664039
"Accipiter_gentilis",866.04,52.69,33.4059028015006
"Accipiter_griseiceps",251.76,-2.09,23.7115770800971
"Accipiter_gularis",120.66,47.23,23.7122433496006
"Accipiter_gundlachi",675,21.47,25.6350577778649
"Accipiter_haplochrous",198.41,-21.27,23.7129156870302
"Accipiter_henicogrammus",332.94,0.58,27.6632403772529
"Accipiter_henstii",1050,-17.99,32.9999309032224
"Accipiter_novaehollandiae",326.06,-15.78,26.1138068608008
"Accipiter_imitator",222.49,-7.92,26.3897729491349
"Accipiter_luteoschistaceus",214,-4.89,NA
