"Birdlife_Name","Birdlife_common.name","Jetz_Name","Jetz_order","Jetz_family","Body_mass","Beak"
"Abeillia abeillei","Emerald-chinned Hummingbird","Abeillia_abeillei","Apodiformes","Trochilidae",2.7,13.3383579049278
"Abroscopus albogularis","Rufous-faced Warbler","Abroscopus_albogularis","Passeriformes","Cettidae",4.84,9.87852577398531
"Abroscopus schisticeps","Black-faced Warbler","Abroscopus_schisticeps","Passeriformes","Cettidae",4.7,9.41930289412849
"Abroscopus superciliaris","Yellow-bellied Warbler","Abroscopus_superciliaris","Passeriformes","Cettidae",6.48,12.1572083680276
"Aburria aburri","Wattled Guan","Aburria_aburri","Galliformes","Cracidae",1405.08,37.0278746752961
"Acanthagenys rufogularis","Spiny-cheeked Honeyeater","Acanthagenys_rufogularis","Passeriformes","Meliphagidae",47.8,24.2321239048615
"Acanthidops bairdi","Peg-billed Finch","Acanthidops_bairdii","Passeriformes","Thraupidae",16,15.2350369445141
"Acanthis flammea","Redpoll","Carduelis_flammea","Passeriformes","Fringillidae",13,11.1457547604719
"Acanthisitta chloris","Rifleman","Acanthisitta_chloris","Passeriformes","Acanthisittidae",6.91,11.654962170585
"Acanthiza apicalis","Inland Thornbill","Acanthiza_apicalis","Passeriformes","Acanthizidae",7.62,11.2254994422831
"Acanthiza chrysorrhoa","Yellow-rumped Thornbill","Acanthiza_chrysorrhoa","Passeriformes","Acanthizidae",9.29,11.3628440744895
"Acanthiza cinerea","Grey Thornbill","Gerygone_cinerea","Passeriformes","Acanthizidae",7.6,10.8857845296152
"Acanthiza ewingii","Tasmanian Thornbill","Acanthiza_ewingii","Passeriformes","Acanthizidae",6.9,10.6818993270397
"Acanthiza inornata","Western Thornbill","Acanthiza_inornata","Passeriformes","Acanthizidae",7,10.7611464096699
"Acanthiza iredalei","Slender-billed Thornbill","Acanthiza_iredalei","Passeriformes","Acanthizidae",6.04,8.69096918091364
"Acanthiza katherina","Mountain Thornbill","Acanthiza_katherina","Passeriformes","Acanthizidae",7.2,10.8568213672843
"Acanthiza lineata","Striated Thornbill","Acanthiza_lineata","Passeriformes","Acanthizidae",6.85,8.76384660746902
"Acanthiza murina","New Guinea Thornbill","Acanthiza_murina","Passeriformes","Acanthizidae",8.4,10.8482337141689
"Acanthiza nana","Yellow Thornbill","Acanthiza_nana","Passeriformes","Acanthizidae",6.19,10.3421825274359
"Acanthiza pusilla","Brown Thornbill","Acanthiza_pusilla","Passeriformes","Acanthizidae",7.62,9.92167373851873
"Acanthiza reguloides","Buff-rumped Thornbill","Acanthiza_reguloides","Passeriformes","Acanthizidae",7.7,10.0141207025107
"Acanthiza robustirostris","Slaty-backed Thornbill","Acanthiza_robustirostris","Passeriformes","Acanthizidae",6.1,10.4506453994196
"Acanthiza uropygialis","Chestnut-rumped Thornbill","Acanthiza_uropygialis","Passeriformes","Acanthizidae",6.4,10.1690198121592
