Jetz_Name,Latitude,Body_Mass
Dendrocygna viduata,-5.68,689.99
Dendrocygna autumnalis,-5.68,755.3
Dendrocygna guttata,-3.41,800
Dendrocygna arborea,19.66,1150
Dendrocygna bicolor,-0.38,756.37
Dendrocygna eytoni,-21.27,789.99
Dendrocygna arcuata,-7.97,796.18
Dendrocygna javanica,18.86,519.61
Thalassornis leuconotus,-7.97,698.33
Cereopsis novaehollandiae,-35.91,3559.99
Anser cygnoides,49.21,3511.94
Anser brachyrhynchus,66.06,2642.04
Anser anser,50.37,3302.41
Anser albifrons,67.98,2506.39
Anser erythropus,67.98,1755.5
Anser indicus,38.75,2212.55
Chen caerulescens,70.07,2636.15
Chen rossii,62.61,1635.99
Chen canagica,66.06,2136.49
Branta canadensis,52.78,2811.68
Branta hutchinsii,NA,2811.68
Branta sandvicensis,20.06,2044.12
Branta bernicla,70.07,1277.91
Branta leucopsis,64.28,1683.97
Branta ruficollis,70.07,1226.47
Coscoroba coscoroba,-36.84,4294.78
Cygnus atratus,-27.91,5623.16
Cygnus melancoryphus,-38.75,4711.68
Cygnus olor,49.21,10682.04
Cygnus buccinator,56.68,11071.13
Cygnus columbianus,67.98,6377.96
Cygnus cygnus,59.51,9349.99
Stictonetta naevosa,-30.51,903.27
Hymenolaimus malacorhynchos,-41.71,829.99
Tachyeres patachonicus,-45.87,2821.55
Tachyeres pteneres,-51.56,4737.59
Tachyeres brachypterus,-51.56,3450
Tachyeres leucocephalus,-43.75,3013
Merganetta armata,-16.48,398.82
Plectropterus gambensis,1.13,3869
Cyanochen cyanoptera,9.5,1520
Alopochen aegyptiaca,3.41,1873
Neochen jubata,-5.68,1250
Chloephaga melanoptera,-21.27,2037
Chloephaga picta,-49.21,2880.37
Chloephaga hybrida,-51.56,2281.8
Chloephaga poliocephala,-48.07,2007.14
Chloephaga rubidiceps,-52.78,2086
Tadorna tadorna,46.96,1146.83
Tadorna radjah,-14.91,885.22
Tadorna ferruginea,39.72,1235.03
Tadorna cana,-25.38,1182
Tadorna variegata,-40.71,1540.95
Malacorhynchus membranaceus,-26.22,372.79
Salvadorina waigiuensis,-4.92,324
Cairina moschata,-6.44,2415.78
Cairina scutulata,14.91,2937.39
Pteronetta hartlaubii,1.89,790
Aix sponsa,42.72,657.59
Aix galericulata,45.87,567.04
Chenonetta jubata,-27.06,807.46
