"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"194","Coturnix coturnix","Common Quail","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"188","Perdix perdix","Grey Partridge","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"290","Lagopus lagopus","Willow Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"291","Lagopus muta","Rock Ptarmigan","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"295","Tetrao urogallus","Western Capercaillie","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"293","Lyrurus tetrix","Black Grouse","Phasianidae (Pheasants, Partridges, Turkeys, Grouse)","LC"
"366","Cygnus olor","Mute Swan","Anatidae (Ducks, Geese, Swans)","LC"
"369","Cygnus cygnus","Whooper Swan","Anatidae (Ducks, Geese, Swans)","LC"
"371","Cygnus columbianus","Tundra Swan","Anatidae (Ducks, Geese, Swans)","LC"
"386","Branta bernicla","Brent Goose","Anatidae (Ducks, Geese, Swans)","LC"
"385","Branta leucopsis","Barnacle Goose","Anatidae (Ducks, Geese, Swans)","LC"
"378","Anser anser","Greylag Goose","Anatidae (Ducks, Geese, Swans)","LC"
"375","Anser fabalis","Bean Goose","Anatidae (Ducks, Geese, Swans)","LC"
"374","Anser brachyrhynchus","Pink-footed Goose","Anatidae (Ducks, Geese, Swans)","LC"
"376","Anser albifrons","Greater White-fronted Goose","Anatidae (Ducks, Geese, Swans)","LC"
"490","Clangula hyemalis","Long-tailed Duck","Anatidae (Ducks, Geese, Swans)","VU"
"484","Somateria mollissima","Common Eider","Anatidae (Ducks, Geese, Swans)","NT"
"112636","Melanitta fusca","Velvet Scoter","Anatidae (Ducks, Geese, Swans)","VU"
"112634","Melanitta nigra","Common Scoter","Anatidae (Ducks, Geese, Swans)","LC"
"494","Bucephala clangula","Common Goldeneye","Anatidae (Ducks, Geese, Swans)","LC"
"497","Mergellus albellus","Smew","Anatidae (Ducks, Geese, Swans)","LC"
"502","Mergus merganser","Goosander","Anatidae (Ducks, Geese, Swans)","LC"
"500","Mergus serrator","Red-breasted Merganser","Anatidae (Ducks, Geese, Swans)","LC"
"402","Tadorna tadorna","Common Shelduck","Anatidae (Ducks, Geese, Swans)","LC"
"472","Aythya ferina","Common Pochard","Anatidae (Ducks, Geese, Swans)","VU"
"480","Aythya fuligula","Tufted Duck","Anatidae (Ducks, Geese, Swans)","LC"
"482","Aythya marila","Greater Scaup","Anatidae (Ducks, Geese, Swans)","LC"
"460","Spatula querquedula","Garganey","Anatidae (Ducks, Geese, Swans)","LC"
"448","Spatula clypeata","Northern Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"427","Mareca strepera","Gadwall","Anatidae (Ducks, Geese, Swans)","LC"
"429","Mareca penelope","Eurasian Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"435","Anas platyrhynchos","Mallard","Anatidae (Ducks, Geese, Swans)","LC"
"457","Anas acuta","Northern Pintail","Anatidae (Ducks, Geese, Swans)","LC"
